videoId,title,publishedAt,views,likes,comments,url,trainee_name
gFtSBRp1Xd4,[BOYS ll PLANET/9회 직캠] 장지아하오 ZHANG JIA HAO ♬Chains - Love is @데뷔 콘셉트 배틀,2025-09-12T09:02:04Z,1065827,60660,13906,https://www.youtube.com/watch?v=gFtSBRp1Xd4,장지아하오 ZHANG JIA HAO
sE3mduWPwFE,[BOYS ll PLANET/9회 직캠] 박준일 PARK JUN IL ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:23Z,100037,5650,1936,https://www.youtube.com/watch?v=sE3mduWPwFE,박준일 PARK JUN IL
WKhO7vc1eCQ,[BOYS ll PLANET/9회 직캠] 허씬롱 HE XIN LONG ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:10Z,431249,21111,6776,https://www.youtube.com/watch?v=WKhO7vc1eCQ,허씬롱 HE XIN LONG
mu4lQfZ3Tfg,[BOYS ll PLANET/9회 직캠] 김준민 KIM JUN MIN ♬Lucky MACHO - 777 (Triple 7) @데뷔 콘셉트 배틀,2025-09-12T09:00:16Z,173293,13040,2738,https://www.youtube.com/watch?v=mu4lQfZ3Tfg,김준민 KIM JUN MIN
