videoId,title,publishedAt,views,likes,comments,url,trainee_name
RuBFU6KCjSc,[BOYS ll PLANET/7회 직캠 프리뷰] ♬퀸카 (Queencard) - i-dle (아이들) @계급 쟁탈 포지션 배틀,2025-08-25T13:00:36Z,417185,32422,4089,https://www.youtube.com/watch?v=RuBFU6KCjSc,
w0PFEiB9Wi8,[BOYS ll PLANET/7회 직캠 프리뷰] ♬한숨 - 이하이 @계급 쟁탈 포지션 배틀,2025-08-25T12:55:48Z,308779,20753,1991,https://www.youtube.com/watch?v=w0PFEiB9Wi8,
YwFlEOd-3N0,[BOYS ll PLANET/7회 직캠 프리뷰] ♬Smoke (Prod. by Dynamicduo & Padi) - 다이나믹 듀오 & 이영지 @계급 쟁탈 포지션 배틀,2025-08-25T11:21:27Z,269111,9495,358,https://www.youtube.com/watch?v=YwFlEOd-3N0,
vK3oPirPUvo,[BOYS ll PLANET/7회 직캠 프리뷰] ♬FAMOUS - ALLDAY PROJECT @계급 쟁탈 포지션 배틀,2025-08-25T11:21:21Z,337124,16671,564,https://www.youtube.com/watch?v=vK3oPirPUvo,
nHIGsOCZjH0,[BOYS ll PLANET/7회 직캠 프리뷰] ♬Tambourine - Eve @계급 쟁탈 포지션 배틀,2025-08-25T11:21:32Z,427808,24925,3141,https://www.youtube.com/watch?v=nHIGsOCZjH0,
1o7QAqxJDHY,[BOYS ll PLANET/7회 직캠 프리뷰] ♬락 (樂) - Stray Kids @계급 쟁탈 포지션 배틀,2025-08-25T11:20:45Z,428869,29528,2920,https://www.youtube.com/watch?v=1o7QAqxJDHY,
CSVvQKIhpi4,[BOYS ll PLANET/7회 직캠 프리뷰] ♬건물 사이에 피어난 장미 (Rose Blossom) - H1-KEY (하이키) @계급 쟁탈 포지션 배틀,2025-08-25T11:20:32Z,341722,22804,3021,https://www.youtube.com/watch?v=CSVvQKIhpi4,
uIB9RK1Iljc,[BOYS ll PLANET/7회 직캠 프리뷰] ♬지금 널 찾아가고 있어 - 세븐틴 (SEVENTEEN) @계급 쟁탈 포지션 배틀,2025-08-25T11:20:57Z,329189,21540,1632,https://www.youtube.com/watch?v=uIB9RK1Iljc,
UbFKh2efhG4,[BOYS ll PLANET/7회 직캠 프리뷰] ♬Bad - Christopher @계급 쟁탈 포지션 배틀,2025-08-25T11:21:17Z,413166,25683,2628,https://www.youtube.com/watch?v=UbFKh2efhG4,
6eXW3vNlhf8,[BOYS ll PLANET/4회 직캠] 쑨지아양 SUN JIA YANG ♬Whiplash - aespa (에스파) @1vs1 계급 배틀,2025-08-04T11:35:29Z,265703,11558,1270,https://www.youtube.com/watch?v=6eXW3vNlhf8,쑨지아양 SUN JIA YANG
